id,country,city,point_entry
167512,AL,MONOSPITA NAUSA,Entry_34
1604540,CY,Vrysoulles / Famagusta,Entry_4
2593421,IN,KOROPI,Entry_17
3200316,TG,PRESSAS,Entry_1
3212634,GB,Ebbw Vale,Entry_4
3405592,IL,CALIMERA,Entry_17
3824181,TR,23,Entry_17
3918386,GB,Darlington,Entry_40
3921092,FR,Nea Makri,Entry_40
3950856,US,LOUTRA EDIPSOS,Entry_33
3951236,FR,Nea Makri,Entry_40
3951643,NL,PERAMA,Entry_33
3971518,FR,Nea Makri,Entry_40
3975854,BG,ATHANASIADIS,Entry_40
3981203,FR,Nea Makri,Entry_40
3983742,FR,Nea Makri,Entry_40
3984395,FR,Nea Makri,Entry_40
3986887,CY,"Athens, Galatsi",Entry_40
3987052,CY,"Athens, Galatsi",Entry_40
3987864,GB,Darlington,Entry_40
3998210,FR,Nea Makri,Entry_40
3998240,FR,Nea Makri,Entry_40
3998244,GB,Darlington,Entry_40
3998309,GB,Darlington,Entry_40
3998312,GB,Darlington,Entry_40
3999284,NL,PERAMA,Entry_17
4000189,NL,PERAMA,Entry_17
4005387,GB,Darlington,Entry_40
4005509,FR,Nea Makri,Entry_40
4005562,FR,Nea Makri,Entry_40
4005583,BE,Kallithea,Entry_17
4005604,FR,Nea Makri,Entry_40
4005651,FR,Nea Makri,Entry_40
4005701,FR,Nea Makri,Entry_40
4005805,FR,Nea Makri,Entry_40
4005912,GB,Darlington,Entry_40
4006466,GB,Darlington,Entry_40
4006527,FR,Nea Makri,Entry_40
4006570,FR,Nea Makri,Entry_40
4006612,FR,Nea Makri,Entry_40
4006660,FR,Nea Makri,Entry_40
4006693,FR,Nea Makri,Entry_40
4006738,FR,Nea Makri,Entry_40
4006800,FR,Nea Makri,Entry_40
4006852,FR,Nea Makri,Entry_40
4006885,FR,Nea Makri,Entry_40
4006909,FR,Nea Makri,Entry_40
4006931,FR,Nea Makri,Entry_40
4007019,FR,Nea Makri,Entry_40
4007115,FR,Nea Makri,Entry_40
4007212,FR,Nea Makri,Entry_40
4007309,FR,Nea Makri,Entry_40
4007318,GB,Darlington,Entry_40
4007450,FR,Nea Makri,Entry_40
4007534,FR,Nea Makri,Entry_40
4007560,FR,Nea Makri,Entry_40
4007706,FR,Nea Makri,Entry_40
4007814,FR,Nea Makri,Entry_40
4007997,FR,Ntiountone,Entry_40
4008099,FR,Nea Makri,Entry_40
4008103,GB,Darlington,Entry_40
4008268,FR,Nea Makri,Entry_40
4008359,EG,WN,Entry_40
4008415,FR,Nea Makri,Entry_40
4008456,FR,Nea Makri,Entry_40
4008471,FR,Nea Makri,Entry_40
4008502,FR,Nea Makri,Entry_40
4008549,FR,Nea Makri,Entry_40
4008585,FR,Nea Makri,Entry_40
4008588,FR,Nea Makri,Entry_40
4008627,FR,Nea Makri,Entry_40
4008646,FR,Nea Makri,Entry_40
4008685,FR,Nea Makri,Entry_40
4008731,FR,Nea Makri,Entry_40
4008820,FR,Nea Makri,Entry_40
4008848,FR,Nea Makri,Entry_40
4008858,FR,Nea Makri,Entry_40
4008861,FR,Nea Makri,Entry_40
4008907,FR,Nea Makri,Entry_40
4008911,DE,Bad Aibling,Entry_40
4008913,FR,Nea Makri,Entry_40
4008915,GB,Darlington,Entry_40
4008934,GB,Darlington,Entry_40
4008936,IT,Elefsina,Entry_40
4008957,GB,Darlington,Entry_40
4008958,FR,Nea Makri,Entry_40
4008994,FR,Nea Makri,Entry_40
4009000,GB,Darlington,Entry_40
4009004,GR,Elounda,Entry_40
4009005,FR,Nea Makri,Entry_40
4009018,GB,Darlington,Entry_40
4009027,FR,Nea Makri,Entry_40
4009043,GR,Elounda,Entry_40
4009051,FR,Nea Makri,Entry_40
4009054,FR,Nea Makri,Entry_40
4009061,GB,Darlington,Entry_40
4009070,FR,Nea Makri,Entry_40
4009075,GB,Darlington,Entry_40
4009080,FR,Nea Makri,Entry_40
4009085,FR,Nea Makri,Entry_40
4009129,GB,Darlington,Entry_40
4009131,FR,MONTIGNY LE BRETONNEUX,Entry_40
4009136,FR,Nea Makri,Entry_40
4009162,GB,Darlington,Entry_40
4009166,GB,Darlington,Entry_40
4009171,FR,Nea Makri,Entry_40
4009174,FR,Nea Makri,Entry_40
4009182,GR,Elounda,Entry_40
4009188,FR,Nea Makri,Entry_40
4009196,GB,Darlington,Entry_40
4009224,GB,Darlington,Entry_40
4009227,GB,Darlington,Entry_40
4009233,GB,Darlington,Entry_40
4009246,FR,Nea Makri,Entry_40
4009255,FR,Nea Makri,Entry_40
4009259,GB,Darlington,Entry_40
4009278,GB,Darlington,Entry_40
4009282,FR,Nea Makri,Entry_40
4009293,FR,Nea Makri,Entry_40
4009311,GB,Darlington,Entry_40
4009312,FR,Nea Makri,Entry_40
4009316,FR,Nea Makri,Entry_40
4009326,FR,Nea Makri,Entry_40
4009327,FR,Nea Makri,Entry_40
4009342,FR,Nea Makri,Entry_40
4009359,GB,Darlington,Entry_40
4009370,FR,Nea Makri,Entry_40
4009375,FR,Nea Makri,Entry_40
4009381,FR,Nea Makri,Entry_40
4009385,GB,Darlington,Entry_40
4009407,FR,Nea Makri,Entry_40
4009413,FR,Nea Makri,Entry_40
4009416,FR,Nea Makri,Entry_40
4009417,FR,Nea Makri,Entry_40
4009426,GB,Darlington,Entry_40
4009428,FR,Nea Makri,Entry_40
4009434,GB,Darlington,Entry_40
4009455,GB,Darlington,Entry_40
4009456,GB,Darlington,Entry_40
4009460,FR,Nea Makri,Entry_40
4009478,GB,Darlington,Entry_40
4009488,FR,Nea Makri,Entry_40
4009491,GB,Darlington,Entry_40
4009495,GB,Darlington,Entry_40
4009500,FR,Nea Makri,Entry_40
4009511,FR,Nea Makri,Entry_40
4009514,FR,Nea Makri,Entry_40
4009516,GB,Darlington,Entry_40
4009529,GB,Darlington,Entry_40
4009537,GB,Darlington,Entry_40
4009549,GB,Darlington,Entry_40
4009556,FR,Nea Makri,Entry_40
4009562,IT,Elefsina,Entry_40
4009563,GB,Darlington,Entry_40
4009577,FR,Lipsi,Entry_40
4009587,FR,Nea Makri,Entry_40
4009617,BE,MOORSEL,Entry_40
4009622,GB,Darlington,Entry_40
4009623,FR,Nea Makri,Entry_40
4009636,GB,Darlington,Entry_40
4009637,GB,Darlington,Entry_40
4009642,DE,Schwabach,Entry_40
4009665,GB,Darlington,Entry_40
4009670,FR,Nea Makri,Entry_40
4009688,US,Sifnos,Entry_40
4009689,FR,Nea Makri,Entry_40
4009698,FR,Lipsi,Entry_40
4009703,GB,Darlington,Entry_40
4009724,DE,Schwabach,Entry_40
4009727,FR,Nea Makri,Entry_40
4009731,GB,Darlington,Entry_40
4009738,GB,Darlington,Entry_40
4009743,FR,Nea Makri,Entry_40
4009749,FR,PALIANI,Entry_40
4009769,FR,Lipsi,Entry_40
4009776,FR,Nea Makri,Entry_40
4009793,GB,Darlington,Entry_40
4009800,GB,Darlington,Entry_40
4009815,AO,zibjb,Entry_40
4009816,GB,Darlington,Entry_40
4009826,DE,Schwabach,Entry_40
4009844,FR,angres,Entry_40
4009845,FR,Weyer,Entry_40
4009857,BG,ATHANASIADIS,Entry_40
4009873,GB,Darlington,Entry_40
4009881,DE,Schwabach,Entry_40
4009893,GB,Darlington,Entry_40
4009895,GB,Darlington,Entry_40
4009896,BE,Nazareth,Entry_40
4009897,FR,Nea Makri,Entry_40
4009945,CV,HE,Entry_40
4009951,GB,Darlington,Entry_40
4009952,DE,Schwabach,Entry_40
4009958,GB,Darlington,Entry_40
4009985,FR,Weyer,Entry_40
4009986,GR,Elounda,Entry_40
4009993,FR,Nea Makri,Entry_40
4009998,BE,Isabelle,Entry_40
4010001,GB,Darlington,Entry_40
4010038,FR,Nea Makri,Entry_40
4010047,FR,MONTIGNY LE BRETONNEUX,Entry_40
4010054,GB,Darlington,Entry_40
4010076,FR,Nea Makri,Entry_40
4010083,FR,Nea Makri,Entry_40
4010091,PH,WSA,Entry_40
4010096,GB,Darlington,Entry_40
4010102,DE,Schwabach,Entry_40
4010147,FR,Lipsi,Entry_40
4010153,GB,Darlington,Entry_40
4010170,FR,Nea Makri,Entry_40
4010181,GB,Darlington,Entry_40
4010185,GB,Darlington,Entry_40
4010188,FR,Nea Makri,Entry_40
4010193,GR,Elounda,Entry_40
4010204,FR,Weyer,Entry_40
4010217,FR,Nea Makri,Entry_40
4010237,FR,Nea Makri,Entry_40
4010239,FR,Nea Makri,Entry_40
4010252,GB,Darlington,Entry_40
4010264,GB,Darlington,Entry_40
4010268,FR,Lipsi,Entry_40
4010290,GB,Darlington,Entry_40
4010308,FR,MONTIGNY LE BRETONNEUX,Entry_40
4010312,GB,Darlington,Entry_40
4010320,EG,WN,Entry_40
4010323,FR,Lipsi,Entry_40
4010327,FR,Nea Makri,Entry_40
4010354,GB,Darlington,Entry_40
4010360,FR,Lipsi,Entry_40
4010363,GB,Darlington,Entry_40
4010371,FR,Nea Makri,Entry_40
4010388,FR,Nea Makri,Entry_40
4010440,FR,Nea Makri,Entry_40
4010457,GB,Darlington,Entry_40
4010459,GB,Darlington,Entry_40
4010473,GB,Darlington,Entry_40
4010488,FR,Nea Makri,Entry_40
4010490,GB,Darlington,Entry_40
4010516,GB,Darlington,Entry_40
4010524,FR,Nea Makri,Entry_40
4010529,GB,Darlington,Entry_40
4010545,FR,Nea Makri,Entry_40
4010583,GB,Darlington,Entry_40
4010642,GB,Darlington,Entry_40
4010644,FR,Nea Makri,Entry_40
4010682,FR,Nea Makri,Entry_40
4010689,FR,Nea Makri,Entry_40
4010699,FR,Nea Makri,Entry_40
4010705,FR,MONTIGNY LE BRETONNEUX,Entry_40
4010767,FR,Nea Makri,Entry_40
4010778,GB,Darlington,Entry_40
4010792,FR,Nea Makri,Entry_40
4010801,DE,Schwabach,Entry_40
4010805,GB,Darlington,Entry_40
4010822,FR,MONTIGNY LE BRETONNEUX,Entry_40
4010834,FR,Nea Makri,Entry_40
4010853,FR,Nea Makri,Entry_40
4010857,GB,Darlington,Entry_40
4010864,DE,Schwabach,Entry_40
4010878,FR,Nea Makri,Entry_40
4010895,FR,Nea Makri,Entry_40
4010908,DE,Schwabach,Entry_40
4010920,FR,Nea Makri,Entry_40
4010928,GB,Darlington,Entry_40
4010957,DE,Schwabach,Entry_40
4010975,FR,Nea Makri,Entry_40
4010990,FR,Nea Makri,Entry_40
4011011,DE,Schwabach,Entry_40
4011040,FR,Nea Makri,Entry_40
4011061,GB,Darlington,Entry_40
4011068,DE,Schwabach,Entry_40
4011069,GB,Darlington,Entry_40
4011073,FR,Nea Makri,Entry_40
4011120,DE,Schwabach,Entry_40
4011122,GB,Darlington,Entry_40
4011157,FR,Nea Makri,Entry_40
4011192,GB,Darlington,Entry_40
4011196,DE,Schwabach,Entry_40
4011247,DE,Schwabach,Entry_40
4011252,DK,Karina,Entry_40
4011258,GB,Darlington,Entry_40
4011271,FR,Nea Makri,Entry_40
4011288,DE,Schwabach,Entry_40
4011298,GB,Darlington,Entry_40
4011330,FR,Nea Makri,Entry_40
4011334,DE,Schwabach,Entry_40
4011336,GB,Darlington,Entry_40
4011356,GB,Darlington,Entry_40
4011429,FR,Nea Makri,Entry_40
4011434,FR,Nea Makri,Entry_40
4011457,FR,Weyer,Entry_40
4011491,GB,Darlington,Entry_40
4011497,FR,Nea Makri,Entry_40
4011535,PL,Kos,Entry_40
4011575,US,DE,Entry_40
4011790,GB,Darlington,Entry_40
4011832,GB,Darlington,Entry_40
4011854,GB,Darlington,Entry_40
4011929,GB,Darlington,Entry_40
4011999,GB,Darlington,Entry_40
4012527,GR,Nea Potidea Kassandra,Entry_40
4012571,DE,Anna,Entry_40
4012620,AL,"KORDHALO,ATHENS",Entry_40
4012666,CV,HE,Entry_40
4012701,ID,SH,Entry_40
4012743,FR,Nea Makri,Entry_40
4012782,GB,Tyne and Wear,Entry_40
4012818,IT,PALAMAS,Entry_40
4012886,CZ,Vresovice,Entry_40
4012928,CH,Zakynthos,Entry_40
4012957,BG,Policarpi,Entry_40
4012991,ES,Aachen,Entry_40
4018917,NL,TB,Entry_17
4115963,CH,Peristeri,Entry_4
4116552,CH,Peristeri,Entry_4
4118011,FR,IDF,Entry_17
4155105,IL,HA,Entry_41
4176236,IT,Monteforte irpino,Entry_41
4176283,GB,Matlock,Entry_41
4176370,GB,Reykjavik,Entry_41
4176397,CI,Grafing,Entry_41
4176436,CY,Brussels,Entry_41
4185988,DE,Niedernberg,Entry_17
