eb_type,isCtryFlagged,isCtryGrey,eb_prev,prev,num_pos,num_tested,num_arrivals,alpha.post,beta.post,low,up
AD,FALSE,FALSE,0.0019481212786125381,0,0,8,56,2.3207109713257488,1188.9351912169461,4.128156140127431e-4,0.004408213961180255
AE,FALSE,FALSE,0.0024251938341246257,0.005376344086021506,1,186,868,3.3207109713257488,1365.9351912169461,7.211161086343242e-4,0.0049407933305421975
AF,TRUE,FALSE,0.003200628457653425,0,0,57,284,1.1628787811696812,362.1653852005416,2.332468070723057e-4,0.009079785363937165
AG,TRUE,FALSE,0.00368783554790105,0,0,9,19,1.1628787811696812,314.1653852005416,2.6886958463119944e-4,0.010459411974025223
AL,TRUE,FALSE,0.0019894418659602876,0.001918649270913277,15,7818,51243,16.16287878116968,8108.165385200542,0.0012517451400714237,0.00286606892555075
AM,TRUE,FALSE,0.00368783554790105,0,0,9,74,1.1628787811696812,314.1653852005416,2.6886958463119944e-4,0.010459411974025223
AO,TRUE,FALSE,0.003114896174125859,0,0,67,239,1.1628787811696812,372.1653852005416,2.269815988739343e-4,0.008836947801854511
AR,TRUE,FALSE,0.003618974461692133,0,0,15,71,1.1628787811696812,320.1653852005416,2.638328284809313e-4,0.010264458226469153
AT,FALSE,FALSE,8.629565410407263e-4,0,0,1506,6144,2.3207109713257488,2686.935191216946,1.8274329548917368e-4,0.0019535853917504206
AU,FALSE,FALSE,0.001887898986040671,0,0,46,223,2.3207109713257488,1226.9351912169461,4.0003953342439616e-4,0.004272050296816419
AZ,TRUE,FALSE,0.006627923535581022,0.05,1,20,1370,2.162878781169681,324.1653852005416,0.0013005167320328714,0.015296154634286796
BA,TRUE,FALSE,0.003148631974798619,0,0,63,375,1.1628787811696812,368.1653852005416,2.294468541582588e-4,0.0089325072640698
BB,TRUE,FALSE,0.003735217504177499,0,0,5,29,1.1628787811696812,310.1653852005416,2.7233563853783335e-4,0.010593548056068713
BD,TRUE,FALSE,0.0026835978121629305,0,0,127,3669,1.1628787811696812,432.1653852005416,1.954774526942423e-4,0.007614977595381878
BE,FALSE,FALSE,0.0019716190200143044,0.001996007984031936,1,501,2403,3.3207109713257488,1680.9351912169461,5.861148100663805e-4,0.004017409227913038
BE*,FALSE,TRUE,0.001410911728050851,0.0010775862068965517,1,928,5133,1.8663947407507426,1320.9624567346941,2.293853840666636e-4,0.0034189967086354434
BF,TRUE,FALSE,0.0037838328505928847,0,0,1,5,1.1628787811696812,306.1653852005416,2.758922227514953e-4,0.0107311692401868
BG*,FALSE,TRUE,0.0031271048364465174,0.003205813207950417,15,4679,77998,15.866394740750742,5057.962456734695,0.0019584540761152826,0.0045177025728769665
BH,TRUE,FALSE,0.009432186668709153,0.06896551724137931,2,29,82,3.162878781169681,332.1653852005416,0.002703873307362773,0.01942905779072812
BI,TRUE,FALSE,0.003457570789331329,0,0,30,116,1.1628787811696812,335.1653852005416,2.520296002604392e-4,0.00980745337002964
BJ,TRUE,FALSE,0.0037593680131293634,0,0,3,10,1.1628787811696812,308.1653852005416,2.741023941156832e-4,0.010661914576228226
BO,TRUE,FALSE,0.0018274825227676886,0,0,330,534,1.1628787811696812,635.1653852005416,1.3301466534717358e-4,0.00518785421561056
BR,TRUE,FALSE,0.004945664296831569,0.007633587786259542,1,131,390,2.162878781169681,435.1653852005416,9.693894293448718e-4,0.011422021164826823
BS,TRUE,FALSE,0.006752069749590276,0.07142857142857142,1,14,113,2.162878781169681,318.1653852005416,0.0013249811485171888,0.015581832447832622
BT,TRUE,FALSE,0.0037593680131293634,0,0,3,20,1.1628787811696812,308.1653852005416,2.741023941156832e-4,0.010661914576228226
BW,TRUE,FALSE,0.0037838328505928847,0,0,1,22,1.1628787811696812,306.1653852005416,2.758922227514953e-4,0.0107311692401868
BY,TRUE,FALSE,0.003348068388787712,0,0,41,190,1.1628787811696812,346.1653852005416,2.4402378522269744e-4,0.00949736214741792
BZ,TRUE,FALSE,0.0037838328505928847,0,0,1,6,1.1628787811696812,306.1653852005416,2.758922227514953e-4,0.0107311692401868
CA,FALSE,FALSE,0.0017187193683543419,0,0,167,819,2.3207109713257488,1347.9351912169461,3.6415332508525796e-4,0.003889495480725469
CD,TRUE,FALSE,0.003641640632337769,0,0,13,35,1.1628787811696812,318.1653852005416,2.6549064789426776e-4,0.01032863026603037
CF,TRUE,FALSE,0.0037961850664851105,NaN,0,0,1,1.1628787811696812,305.1653852005416,2.7679593117448646e-4,0.010766135052006298
CG,TRUE,FALSE,0.003416932721262823,0,0,34,260,1.1628787811696812,339.1653852005416,2.490583325989382e-4,0.009692377560940435
CH,FALSE,FALSE,0.002255579501640064,0.0024706609017912293,4,1619,44177,6.320710971325749,2795.935191216946,0.0010092012341044263,0.0039022915718035195
CI,TRUE,FALSE,0.0017312333703845054,0.0010604453870625664,1,943,3799,2.162878781169681,1247.1653852005416,3.386434873691255e-4,0.0040037891987640545
CL,TRUE,FALSE,0.0033099494130942333,0,0,45,255,1.1628787811696812,350.1653852005416,2.4123724278552378e-4,0.009389408111442177
CM,TRUE,FALSE,0.003711375304583303,0,0,7,50,1.1628787811696812,312.1653852005416,2.70591512715755e-4,0.01052605270395679
CN,FALSE,FALSE,0.001883302784108861,0,0,49,259,2.3207109713257488,1229.9351912169461,3.990644937844074e-4,0.004261657921388181
CO,TRUE,FALSE,0.0067732143537834605,0.07692307692307693,1,13,76,2.162878781169681,317.1653852005416,0.0013291483176521993,0.01563048608647921
CR,TRUE,FALSE,0.0037593680131293634,0,0,3,15,1.1628787811696812,308.1653852005416,2.741023941156832e-4,0.010661914576228226
CU,FALSE,FALSE,0.0019530397173302206,0,0,5,26,2.3207109713257488,1185.9351912169461,4.138590958523544e-4,0.004419334334596183
CV,TRUE,FALSE,0.006086987724908379,0.02040816326530612,1,49,580,2.162878781169681,353.1653852005416,0.001193964340888811,0.014051027975351738
CY,FALSE,FALSE,0.002994760477529367,0.003535130357931949,8,2263,21205,10.320710971325749,3435.935191216946,0.0016444440725414079,0.004671310053695145
CZ,FALSE,FALSE,0.0011542029963939485,9.317493594223154e-4,4,4293,28391,6.320710971325749,5469.935191216946,5.16216147377115e-4,0.0019974732949939573
DE,FALSE,FALSE,0.0029433284246913887,0.003066187354620427,29,9458,81794,31.32071097132575,10609.935191216946,0.002135844041683361,0.0038568560111966682
DJ,TRUE,FALSE,0.0035635245534075266,0,0,20,32,1.1628787811696812,325.1653852005416,2.597774678548592e-4,0.010107463387085014
DK,FALSE,FALSE,0.0021060220045605576,0.0022002200220022,4,1818,9579,6.320710971325749,2994.935191216946,9.422353940871436e-4,0.003643704253676235
DM,TRUE,FALSE,0.0037593680131293634,0,0,3,12,1.1628787811696812,308.1653852005416,2.741023941156832e-4,0.010661914576228226
DO,FALSE,FALSE,0.0019367406971145592,0,0,15,53,2.3207109713257488,1195.9351912169461,4.1040116653827705e-4,0.004382482791897693
DZ,FALSE,FALSE,0.0016491037399218305,0,0,224,3260,2.3207109713257488,1404.9351912169461,3.4938868132815916e-4,0.0037320624816532966
EC,TRUE,FALSE,0.003676177292955756,0,0,10,24,1.1628787811696812,315.1653852005416,2.6801681273216915e-4,0.01042640703600195
EE,FALSE,FALSE,0.0017445598004926554,0,0,147,689,2.3207109713257488,1327.9351912169461,3.696340916271444e-4,0.003947930265842987
EG,TRUE,FALSE,0.0029306702864173714,0.0028237192416296895,7,2479,9843,8.162878781169681,2777.1653852005416,0.0014718984552869443,0.004792542842725794
ER,TRUE,FALSE,0.003427002418025386,0,0,33,315,1.1628787811696812,338.1653852005416,2.497945620961477e-4,0.009720892599832776
ES,FALSE,FALSE,0.0025019372419823713,0.006944444444444444,1,144,835,3.3207109713257488,1323.9351912169461,7.439639894060867e-4,0.005096996281415848
ES*,FALSE,TRUE,0.005446939403370382,0.009523809523809525,3,315,2371,3.8663947407507426,705.9624567346941,0.0018210185999686336,0.01063407336100941
ET,TRUE,FALSE,0.003723258235885353,0,0,6,18,1.1628787811696812,311.1653852005416,2.7146077416868256e-4,0.0105596925280379
FI,FALSE,FALSE,0.002797924207511935,0.00554016620498615,2,361,3140,4.320710971325749,1539.9351912169461,0.0010081373820182043,0.005310119350864433
FJ,TRUE,FALSE,0.0037715607584994483,0,0,2,3,1.1628787811696812,307.1653852005416,2.7499439614413684e-4,0.010696429812075303
FM,TRUE,FALSE,0.003735217504177499,0,0,5,15,1.1628787811696812,310.1653852005416,2.7233563853783335e-4,0.010593548056068713
FR,FALSE,FALSE,0.003384753704404068,0.0036402244805096313,24,6593,54275,26.32071097132575,7749.935191216946,0.0023787774537404245,0.004535668195332981
FR_CHAPONNAY,FALSE,FALSE,0.0010997296436509154,0,0,927,3588,2.3207109713257488,2107.935191216946,2.3291700188035182e-4,0.0024893530158452528
FR_IDF,FALSE,FALSE,0.002199520057401942,0.002279851809632374,8,3509,26797,10.320710971325749,4681.935191216946,0.0012075083311321162,0.0034315062446772745
FR_TA,FALSE,FALSE,0.0017848109494601003,0,0,117,4817,2.3207109713257488,1297.9351912169461,3.781717217347377e-4,0.004038950500926593
GA,TRUE,FALSE,0.003281924981377448,0,0,48,113,1.1628787811696812,353.1653852005416,2.3918874497364407e-4,0.00931003950878817
GB,FALSE,FALSE,0.002650304892886018,0.0027573529411764708,21,7616,61553,23.32071097132575,8775.935191216946,0.0018175080862340728,0.0036113424153737753
GD,TRUE,FALSE,0.0035635245534075266,0,0,20,58,1.1628787811696812,325.1653852005416,2.597774678548592e-4,0.010107463387085014
GE,FALSE,FALSE,0.002058390715832144,0.002325581395348837,1,430,1070,3.3207109713257488,1609.9351912169461,6.119366382917947e-4,0.004194082370590707
GH,TRUE,FALSE,0.0035744781807062844,0,0,19,202,1.1628787811696812,324.1653852005416,2.6057853566570626e-4,0.01013847698166026
GM,TRUE,FALSE,0.0037715607584994483,0,0,2,18,1.1628787811696812,307.1653852005416,2.7499439614413684e-4,0.010696429812075303
GN,TRUE,FALSE,0.003387075586738255,0,0,37,62,1.1628787811696812,342.1653852005416,2.4687545491439074e-4,0.009607827424963244
GQ,TRUE,FALSE,0.0037715607584994483,0,0,2,9,1.1628787811696812,307.1653852005416,2.7499439614413684e-4,0.010696429812075303
GR,FALSE,FALSE,0.002673582071456772,0.0029884198729921555,8,2677,11100,10.320710971325749,3849.935191216946,0.0014679533026225897,0.004170638460262525
GT,TRUE,FALSE,0.0035097482092076213,0,0,25,34,1.1628787811696812,330.1653852005416,2.55844889439326e-4,0.009955198633070483
GW,TRUE,FALSE,0.0037715607584994483,0,0,2,4,1.1628787811696812,307.1653852005416,2.7499439614413684e-4,0.010696429812075303
GY,FALSE,FALSE,0.0019432275503712718,0,0,11,26,2.3207109713257488,1191.9351912169461,4.1177738089682504e-4,0.004397149411626032
HN,TRUE,FALSE,0.003747253847423365,0,0,4,6,1.1628787811696812,309.1653852005416,2.732161601696427e-4,0.010627621369395435
HR,TRUE,FALSE,0.001603244818816274,0,0,419,7230,1.1628787811696812,724.1653852005416,1.1666994013101337e-4,0.004551791280977015
HT,TRUE,FALSE,0.0066482965688197,0.05263157894736842,1,19,32,2.162878781169681,323.1653852005416,0.001304531203478751,0.0153430379373527
